id	filename	md5	size	state
024d37ff-309d-470c-8fff-72f94bf4b41e	94da98fb-7e9f-4937-bf6b-dd6885258f7c.htseq.counts.gz	bce1ea36049ca641683154858bf2da99	259918	validated
09596f6c-8833-4399-8c67-9e34cc732a34	bb3ae979-88ff-4b50-8f67-7aefd1ff06dc.htseq.counts.gz	52e2d326c70d2efbce79e6210657e100	256068	validated
110335bd-9920-403f-891d-e31a415c5539	c4eed366-ce28-4606-8afb-396097541b36.htseq.counts.gz	0c5915d64f8e0086042727d7b694fe79	257612	validated
13f0e686-bffc-4172-aefc-ae4ff40c8339	fdbe22dd-cc5e-465a-9bb4-5336ac42af75.htseq.counts.gz	0b93e0779af24f0fb31abf0c726a4e32	253118	validated
18cd55a9-2eca-4581-8192-51410f2a2284	0d8dd66a-6753-4472-9c4f-906ad5159ddd.htseq.counts.gz	24817de985965aec3610bd7b68e028ad	252778	validated
1f37a1d9-2ca7-4153-8047-653e9931849c	091be805-db73-4d7c-852a-c13b9923c13a.htseq.counts.gz	05b5a5d18fca57286aa8032ff7cf8468	252663	validated
203f987b-51cc-4449-8bdf-0f5d81869d4e	8c9a74f3-0562-4d9d-a0e6-27a151d5a534.htseq.counts.gz	eb1f8aeb159eaa30440b0afd1b94a6f3	254178	validated
239633be-52a2-423e-ba21-1a3756d99a98	8cc54da6-dadc-48b1-9dd0-535cf2ac58b1.htseq.counts.gz	c68447eaa8ebfba93c4047fd23d464a9	256072	validated
2aa3a12c-43ad-4780-8ad0-f1fb943a34c8	b0937926-a768-41bd-80bc-68d4e5743f8c.htseq.counts.gz	782fc729621b020c531da53042d6e6b9	247393	validated
323d5524-de9e-4fbc-81a0-f480e4bcad78	d5f29606-e2c0-42a9-af59-fb178fcf7201.htseq.counts.gz	b008b22b5f26bb89ba3a63563362fb3f	247175	validated
3b4546b8-0423-4d32-8854-365f7ae4f2f9	3f52a1bb-997b-4ee0-b61b-8060e7d8666d.htseq.counts.gz	b7e234ad7729035b59625146c6479236	256544	validated
3cb90ebf-d0b4-4a34-ae5b-d19b250fc6c8	790e54f3-e786-4f54-a34a-23e640af778d.htseq.counts.gz	2c424f1d0275fc79c734b13bcef6d725	251530	validated
4972a2a0-3ca2-407f-a5e0-98ebcc488ade	a1a12544-eab9-49ed-8140-95e660007e55.htseq.counts.gz	f1858af3e975f69be97e2a9c6964b7d1	255694	validated
4d55e364-91eb-4b5c-b574-36d45c128545	4ea3ac9e-85e8-4506-8c17-f1d9ed349cca.htseq.counts.gz	47f0fc08d8abe6544190c44de2dab797	257043	validated
